Traffic Day,Traffic New or Returning Visitor,Traffic Referring Category Ø,Traffic Referring Site Ø,Traffic Referring URL,Traffic UTM Campaign Name Ø,Traffic UTM Campaign Medium Ø,Traffic UTM Campaign Source Ø,Traffic Page Path Ø,Traffic Page URL,Traffic Country,Traffic Region,Traffic City,Traffic Device Type,Traffic Browser,Traffic Browser Version,Traffic Operating System,Traffic Is the First Page Viewed Ø (Yes / No),Traffic Is the Last Page Viewed Ø (Yes / No),Traffic Next Page Viewed Ø,Traffic Previous Page Viewed Ø,Traffic Page Views,Traffic Site Sessions Ø,Traffic Unique Visitors,Traffic Site Bounce Rate Ø,Traffic Avg. Session Duration Ø,Traffic Avg. Time on Page Ø,Traffic Avg. Pages per Session Ø
01/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,WSX,Burgess Hill,Mobile,Safari,262.1.0.71.117,Mac OS,No,Yes,N/A,/maturity,1,1,1,0,0.012962963,0,1
06/05/2020,New Visitor,Social,facebook.com,https://www.facebook.com/,_,_,_,/,http://jorjmakesmusic.com,United Kingdom,HAV,Romford,Desktop,Chrome,81.0.4044.129,Windows,No,No,/about,/maturity,1,1,1,0,0.000462963,5.20E-05,2
22/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/exclusive,http://jorjmakesmusic.com/exclusive,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,Yes,No,/,N/A,1,1,1,0,0.010509259,0.0050465,1
22/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/maturity,http://jorjmakesmusic.com/maturity,United Kingdom,GRE,Greenwich,Desktop,Chrome,81.0.4044.138,Windows,No,Yes,N/A,/video,1,1,1,0,0.010509259,0,1
07/06/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,BKM,Aylesbury,Mobile,Chrome,77.0.3865.116,Android,No,No,/news,/,1,1,1,0,0.0009375,0.000278,1
25/12/2020,New Visitor,Direct,Direct,N/A,_,_,_,/,https://jorjmakesmusic.com,United States,N/A,N/A,Desktop,Chrome,78.0.3904.70,Linux,Yes,Yes,N/A,N/A,1,1,1,1,0,0,1
01/05/2020,Returning Visitor,Direct,Direct,N/A,_,_,_,/contact,http://jorjmakesmusic.com/contact,United Kingdom,LEW,N/A,Desktop,Chrome,81.0.4044.129,Windows,No,No,/,/about,1,1,1,0,0.017731481,0.0003415,2
06/05/2020,New Visitor,Direct,Direct,N/A,_,_,_,/about,http://jorjmakesmusic.com/about,United Kingdom,BKM,Aylesbury,Mobile,Chrome,77.0.3865.116,Android,No,No,/maturity,/,1,1,1,0,0.001203704,0.000324,2
08/07/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/video,https://jorjmakesmusic.com/video,United Kingdom,GLS,Bourton on the Water,Desktop,Chrome,83.0.4103.116,Windows,No,Yes,N/A,/,1,1,1,0,0.000219907,0,1
18/06/2020,New Visitor,Social,facebook.com,https://l.facebook.com/,_,_,_,/maturity,http://jorjmakesmusic.com/maturity,United Kingdom,MRT,Raynes Park,Desktop,Safari,13.1.1,Mac OS,No,No,/news,/,1,1,1,0,0.000844907,0.0002895,1
