name,playcount,listeners,mbid,url,streamable,tags
The Kinks,54914115,2223891,f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,https://www.last.fm/music/The+Kinks,0,"classic rock, 60s, rock"
Deep Purple,55907721,2217351,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,0,"hard rock, classic rock, rock"
Eagles,38326980,2211489,f46bd570-5768-462e-b84c-c7c993bbf47e,https://www.last.fm/music/Eagles,0,"classic rock, rock, 70s"
The Notorious B.I.G.,44769252,2204366,d5d97b2b-b83b-4976-814a-056d9076c8c3,https://www.last.fm/music/The+Notorious+B.I.G.,0,"Hip-Hop, rap, Gangsta Rap"
Iron Maiden,176344498,2190974,ca891d65-d9b0-4258-89f7-e6ba29d83767,https://www.last.fm/music/Iron+Maiden,0,"heavy metal, metal, NWOBHM"
Jimmy Eat World,73114522,2182200,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0,"rock, alternative, emo"
Portishead,87546174,2169049,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.last.fm/music/Portishead,0,"trip-hop, electronic, female vocalists"
The Pussycat Dolls,31312390,2162686,1fda852b-92e9-4562-82fa-c52820a77b23,https://www.last.fm/music/The+Pussycat+Dolls,0,"pop, rnb, dance"
Lana Del Rey,276147149,2152854,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,0,"female vocalists, indie, indie pop"
The Verve,36063205,2147183,d4d17620-fd97-4574-92a8-a2cb7e72ce42,https://www.last.fm/music/The+Verve,0,"britpop, rock, alternative"
Pitbull,36133276,2133207,d262ea27-3ffe-40f7-b922-85c42d625e67,https://www.last.fm/music/Pitbull,0,"Hip-Hop, rap, Reggaeton"
Phoenix,82055069,2130086,ec5bae34-cd8d-47cb-aa66-60bc0fdce77b,https://www.last.fm/music/Phoenix,0,"indie, french, indie pop"
Bon Iver,132156094,2124039,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,https://www.last.fm/music/Bon+Iver,0,"folk, indie, singer-songwriter"
Ellie Goulding,90722505,2123588,33ca19f4-18c8-4411-98df-ac23890ce9f5,https://www.last.fm/music/Ellie+Goulding,0,"female vocalists, electronic, british"
Sufjan Stevens,138801345,2114179,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,https://www.last.fm/music/Sufjan+Stevens,0,"indie, folk, singer-songwriter"
No Doubt,43297206,2110596,fbd2a255-1d57-4d31-ac11-65b671c19958,https://www.last.fm/music/No+Doubt,0,"rock, pop, ska"
Joy Division,108449524,2109936,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,https://www.last.fm/music/Joy+Division,0,"post-punk, new wave, 80s"
Rise Against,147731672,2102594,606bf117-494f-4864-891f-09d63ff6aa4b,https://www.last.fm/music/Rise+Against,0,"punk rock, punk, melodic hardcore"
The Velvet Underground,67005929,2099731,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,https://www.last.fm/music/The+Velvet+Underground,0,"rock, classic rock, psychedelic"
Nas,54711407,2069601,cfbc0924-0035-4d6c-8197-f024653af823,https://www.last.fm/music/Nas,0,"Hip-Hop, rap, hip hop"
Marvin Gaye,36119259,2068114,afdb7919-059d-43c1-b668-ba1d265e7e42,https://www.last.fm/music/Marvin+Gaye,0,"soul, motown, funk"
Kylie Minogue,77485052,2066174,2fddb92d-24b2-46a5-bf28-3aed46f4684c,https://www.last.fm/music/Kylie+Minogue,0,"pop, dance, female vocalists"
M83,88881507,2049214,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,https://www.last.fm/music/M83,0,"electronic, shoegaze, post-rock"
Bruno Mars,60918527,2047251,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,0,"pop, rnb, male vocalists"
Bob Marley & The Wailers,66418207,2046010,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley+&+The+Wailers,0,"reggae, roots reggae, ska"
Lynyrd Skynyrd,33758180,2035201,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0,"classic rock, Southern Rock, rock"
The xx,147893988,2029483,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6,https://www.last.fm/music/The+xx,0,"indie, electronic, british"
Alice in Chains,87462074,2028134,4bd95eea-b9f6-4d70-a36c-cfea77431553,https://www.last.fm/music/Alice+in+Chains,0,"Grunge, rock, alternative rock"
Jason Derülo,30236321,2023601,6de0f914-3e60-4418-be3b-42e0feb6eb4d,https://www.last.fm/music/Jason+Der%C3%BClo,0,"rnb, pop, male vocalists"
